seq,name/first,name/last,age,street,city,state,zip,dollar,pick,date
1,Erik,Hall,28,Vetav Plaza,Ibrofoz,NY,5501,$9891.58,YELLOW,01/20/1980
2,Olga,Scott,61,Jifru Mill,Toziovo,MA,16243,$7367.54,WHITE,12/20/1907
3,Bernardambert,39,Osaho Plaza,Vovlalca,ID,23734,$1471.11,WHITE,08-02-1905
4,Ethel,Hale,56,Neeh Way,Gebigdec,MO,61208,$7144.83,YELLOW,02-09-2068
5,Jeff,Bennett,58,Dahpi Turnpike,Cegiuk,AR,98516,$3393.18,GREEN,03/22/1951
6,Timothy,Pratt,45,Ofeni Heights,Holsakoc,AZ,83974,$9517.08,WHITE,12-10-1986
7,Benjamin,Walker,59obol View,Taiwdiz,MD,26461,$6256.22,RED,08/28/2062
8,Amelia,McGee,33,Ukenup Way,Zonwecog,NV,5435,$8036.22,YELLOW,02/25/2015
9,Amelia,Vasquez,64,Dunus Glen,Bawducud,FL,99543,$4936.03,WHITE,07-08-1960
10,Amy,Turner,59iwle Ridge,Fimniwzo,WA,85192,$640.47,BLUE,10-04-2018
11,Violet,Christensen,48,Fujus Trail,Pimarfi,GA,24715,$8685.21,BLUE,01/19/1957
12,Theresa,Gill,34,Fezhur Key,Zilijkeb,VA,49376,$8402.17,YELLOW,08-01-1906
13,Virginia,Morgan,18,Zigho Street,Saffehje,ME,22153,$9895.14,RED,04/17/1975
14,Paul,Knight,22,Nobok Highway,Murpolok,VT,20646,$9823.18,GREEN,12/29/2044
15,Eugene,Ross,57,Fowuf Heights,Nojpebuc,KS,38493,$5888.73,RED,10/20/1967
16,Eleanor,Warner,49,Fozoh Park,Nubelze,MO,87488,$7564.27,GREEN,02/18/2052
17,Don,Neal,22,Ipuba Court,Egraruni,MT,82017,$4112.68,WHITE,05-02-1998
18ottie,Fields,59,Obevi Street,Cidosa,KS,34797,$4325.58,GREEN,11-12-1958
19,Thomas,Gomez,55,Zutsor Pass,Hatgalis,TX,34833,$1466.46,GREEN,03/28/1943
20,Kenneth,Barber,32,Tiihe River,Vifneus,MD,98824,$4324.14,BLUE,05-04-1906
21,Susan,Williams,57,Sespo Lane,Pohvagev,OH,8039,$1895.69,WHITE,01-01-1992
22,Cory,Manning,28,Cuse Road,Cipicbu,OK,71361,$903.64,BLUE,12/14/2014
23,Edith,Weaver,43,Sijodi Grove,Fudmiboj,NC,56215,$7102.56,YELLOW,08-05-1932
24,Charlotte,Norman,36,Towo Highway,Atatejit,MT,26058,$8988.93,RED,06/15/2048
25,Mark,Curtis,44,Coejo Path,Citogeef,CA,92536,$5551.93,GREEN,02/25/1961
26,Dollie,Carson,41,Wewat Pike,Nodavuef,ME,30649,$2603.67,BLUE,01/23/2030
27,Jack,Ball,34,Oruvom Avenue,Bekjopmu,OK,83680,$4152.93,RED,09/17/1976
28,Tyler,Douglas,57,Zolcil Drive,Nowevu,NC,42227,$4964.16,GREEN,05/27/2060
29,Nathaniel,Vasquez,22,Jooh Way,Giniven,FL,77207,$6007.43,WHITE,01/25/2004
30,Brandon,Romero,36,Ojipid Turnpike,Mokerlon,AR,15990,$4513.86,WHITE,05-05-1977
31,Zacharyove,49,Uhufu Manor,Divijtuk,MO,43776,$1942.27,WHITE,05-09-1916
32,Oscar,Powers,18,Gere Pass,Alitanuk,RI,43031,$9710.64,GREEN,11/16/1903
33,Robert,Russell,36,Wavit Terrace,Kekvehod,MD,22775,$2835.60,BLUE,07/29/1989
34,Edwin,Owens,47,Gicvah Glen,Nepusa,ME,58552,$5701.75,YELLOW,12/17/2023
35ora,Evans,58,Waluco Road,Pujrezo,MD,51604,$6945.87,BLUE,10/24/1987
36,Stephen,Becker,52,Sohozu Pike,Pejufo,MI,5023,$4840.94,RED,03/30/2028
37,Bessie,Webb,24,Musape Lane,Oditovsiw,IA,28859,$2625.97,YELLOW,01/21/1972
38,Christine,Myers,25,Rawoh Pike,Bapulaor,MA,99642,$4140.97,RED,07-04-2038
39ouisa,Wilkins,33,Sonpen Loop,Nutsuub,NM,47694,$7897.69,BLUE,03/22/2064
40,Marvin,Freeman,35,Reca Drive,Epwutro,MD,1507,$309.00,BLUE,04/13/1955
41,Billy,Watson,35,Mumlis Manor,Zudpobcec,ME,80871,$9604.84,YELLOW,05/24/1932
42,Barbara,Foster,50,Obifu Drive,Vatokka,WY,11380,$5344.60,WHITE,04/27/1998
43,Gregory,Robertson,20,Ihbod View,Coebanoc,MT,13148,$4341.45,YELLOW,08/29/1915
44,Wayne,Bradley,49,Kazbi Extension,Uvguhak,MS,11875,$8185.35,YELLOW,05/17/1999
45,Bernice,Quinn,20,Sahuc Parkway,Nibeod,SC,38807,$4529.40,WHITE,02/13/1924
46eona,Ward,53,Zoroc Circle,Rolukig,ME,43409,$6873.89,BLUE,10/19/1984
47,Gabriel,Arnold,55,Haji Extensionewagtit,NH,45679,$3729.82,GREEN,09/18/1906
48,Erik,Martinez,43,Jaem Ridge,Kaipaura,WA,70948,$7947.22,GREEN,10/20/2068
49uella,Bush,33,Habeg Key,Vekofgo,IL,5213,$3531.43,BLUE,09-06-1957
50,Evelyn,Frank,27,Wibosi Street,Nuwiwno,PA,9031,$9465.43,GREEN,01/16/1990
51innie,Arnold,49,Godi Drive,Codnonun,SC,18109,$1687.69,GREEN,01/25/2014
52,Pauline,Gutierrez,22,Dofuh River,Rubgacufi,VT,18289,$1288.92,RED,03-11-1940
53,Alberta,Webster,51,Hisuk Place,Ukvivaf,IA,60612,$580.25,WHITE,08/22/2023
54,Christopher,Ball,35,Kifali Turnpike,Posodoova,NM,41967,$1688.04,YELLOW,08-05-1947
55,Curtis,Duncan,65,Mitani Grove,Icnabu,IN,49012,$7843.67,BLUE,09-01-1958
56,Edgar,Dean,51,Pufo Turnpike,Ekegosine,CO,4897,$7604.21,BLUE,07/23/1970
57,Daniel,Sanchez,28,Sinsih Manor,Ceomaca,ID,12880,$999.94,GREEN,06-08-1982
58,Hester,Graves,56,Zurve Heights,Iptekeb,UT,25360,$5367.00,YELLOW,01/27/1979
59ina,Gomez,40,Ahawo Court,Sotahhef,MO,98516,$9215.12,BLUE,12-11-2044
60,Oscar,Ryan,34,Tenuj Junctionumfazzav,CA,79103,$5693.70,WHITE,11/29/2019
61,Darrellee,53ahi Drive,Juwmimdi,DC,19315,$7038.89,BLUE,11-10-1974
62,Phillip,Frank,28,Suwniv Lane,Mumiasi,DE,94403,$947.47,BLUE,04-03-1964
63,Harriet,Young,22,Telbus Park,Doodukah,PA,71464,$8717.61,BLUE,08/22/1982
64,Frank,Murray,22,Gini Drive,Debrunak,WV,2927,$7563.67,BLUE,04/18/1920
65,Elijah,Davidson,46,Paov Ridge,Afzawha,MD,4135,$1501.22,BLUE,04-07-2002
66,Callie,Fletcher,60,Hojsid Boulevard,Pomwuzul,ID,73289,$8814.58,BLUE,10/26/2056
67,Edwin,Hogan,31,Gukva Glen,Ajbilla,WV,22463,$4117.84,YELLOW,08/22/2057
68,Ethel,Ray,37ifum Park,Hionuki,CT,35481,$9661.22,BLUE,03/28/2000
69,Delia,Thompson,36,Dokewi Point,Ferjerwo,AK,81280,$5290.94,YELLOW,12/18/2030
70,Jimmy,Hicks,36,Fuiw Point,Cipudo,ME,67352,$434.84,GREEN,02/17/2062
71,Carolyn,Marshall,22,Fonet River,Butdeblek,ID,90867,$8410.17,GREEN,02/24/1994
72,Ola,Gross,48,Beusi Road,Dumzorwum,KS,1046,$4875.61,YELLOW,05-05-2043
73,Darrell,Parker,44,Puspec Junction,Etparjag,MT,28026,$9163.57,WHITE,02/16/2067
74,Essie,Mendez,43,Kadiju River,Raheku,IN,23693,$2996.37,YELLOW,01/19/1956
75,Sue,Reese,22,Zobbe Mill,Wopopwes,WV,65684,$6658.39,RED,08-02-1964
76,Bruce,Christensen,28,Nuzoz Grove,Vuslifi,MS,27343,$192.30,YELLOW,03/22/1907
77,Gertrude,Vaughn,34,Docap Parkway,IhewuukeA,57590,$2340.39,RED,08-03-1909
78,Charlotte,Hampton,23,Socuw Point,Rahunmi,FL,91636,$24.62,GREEN,10/27/1923
79,Inez,Cobb,62,Gafkok Court,Jagdajom,ND,80185,$308.65,WHITE,03-08-1986
80,Rosalie,Sharp,21igod Junction,Amifobot,DC,65402,$3190.82,RED,03-03-1994
81,Barbara,Hines,42,Wamifa Extension,Nikulki,IL,390,$1686.77,GREEN,02-07-1996
82,Jennie,Owen,34,Dazi Turnpike,Sijcehaf,NJ,34645,$4914.30,BLUE,03/25/1997
83,Katharine,Fields,56,Fidun Glen,Cebuoj,WV,87283,$3236.09,WHITE,09/28/2025
84,Rosa,Ward,48,Cufen View,Cermees,MO,47014,$7200.57,RED,01/18/1950
85,Minerva,Austin,26,Aphot Extension,Hukkurpip,MA,29516,$4589.61,WHITE,07/21/2033
86,James,Ford,18,Zafuh Path,Nuzikza,VT,88718,$3839.59,YELLOW,04-03-1998
87,Edgar,Waters,55,Zica Drive,Sisocin,KS,24810,$6034.41,WHITE,09/29/2046
88,Andre,Thompson,52,Demze Path,Guaned,SC,19602,$2882.69,GREEN,10/18/1919
89,Sophia,Thomas,29ilso Circle,Zucoru,MO,57725,$3410.61,YELLOW,10/18/2028
